product Name,﻿Brand,Size,Balloon Capacity,Absorbancy,Calories,Color,Circumference,Container Type,Cover options,cuff size ,Cushion shape,Dimension Matrix,FabricOption,Flavour,Flow rate,French Gauge,item Options,Item type Matrix,length,Packaging,PadSize,Patient Size,quantity,Resistance,SeatDepth,SeatWidth,shape,Size Range,sterile,Strength,Sun Protection Factor,User Type,Volume,Weight Range,Material,Usage,Watts,Weight Capacity,Type
Return Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Videos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Forms - Downloads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Products Message,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Ship Logo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - No Returns ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Rx Required ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Free White Glove Delivery ,,,,,,White,,,,,,,,,,,Glove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Free Curbside Delivery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Bulk Item ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Oversized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Free Local Delivery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Crash Tested ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Ada Compliant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Insurance Eligible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Sterile Product ,,,,,,,,,,,,,,,,,Sterile,,,,,,,,,,,,Sterile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logo - Custom Product ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSG - CALL US ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSG - BUY NOW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAX (INTERNAL) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handling Fee (Internal) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTUAL SHIPPING COST (INTERNAL USE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quotelink ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOGLE SHOPPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promotion ID (Mes-Brand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flat % of promotion (Brand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROMOTION ID (Mes-Catt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
